layer,n_tris,mean_pass_freq,frac_ever_routed,frac_always_routed
0,14171,0.06231359819349376,0.1336532354809117,0.04664455578293698
1,12023,0.0567184562921068,0.12642435332279797,0.047825002079347916
2,9991,0.05459113201881693,0.14973476128515664,0.04113702332098889
3,8399,0.05235194666031671,0.14215978092630074,0.04262412191927611
4,7043,0.05104216953002982,0.12295896634956695,0.04216953002981684
5,5816,0.05624449793672627,0.11141678129298486,0.049002751031636864
6,4990,0.05584649298597194,0.09118236472945891,0.05110220440881764
7,4343,0.05607137923094635,0.057794151508174074,0.05480082892010131
8,3869,0.051774101835099506,0.10571207030240372,0.04548979064357715
9,3543,0.04908947219870167,0.08326277166243297,0.044594976009031895
10,3290,0.0514662613981763,0.057750759878419454,0.04893617021276596
11,3084,0.04810051880674449,0.06939040207522698,0.046044098573281456
12,2859,0.04752500874431619,0.105631339629241,0.04337180832458902
13,2596,0.05419645608628659,0.11248073959938366,0.046610169491525424
14,2316,0.05845509499136442,0.07426597582037997,0.055267702936096716
15,1941,0.06543019062339,0.06594538897475528,0.06491499227202473
16,1643,0.06512477175897748,0.06512477175897748,0.06512477175897748
17,1399,0.06394138670478913,0.07219442458899214,0.057898498927805575
18,1191,0.06297229219143577,0.06381192275398824,0.06213266162888329
19,908,0.07268722466960352,0.07268722466960352,0.07268722466960352
20,748,0.05627005347593583,0.07085561497326204,0.053475935828877004
21,635,0.06728818897637795,0.09291338582677165,0.05511811023622047
22,486,0.06594238683127572,0.102880658436214,0.06172839506172839
23,370,0.07188648648648649,0.15405405405405406,0.062162162162162166
24,291,0.0859106529209622,0.0859106529209622,0.0859106529209622
25,202,0.07661386138613861,0.1782178217821782,0.039603960396039604
26,102,0.0784313725490196,0.0784313725490196,0.0784313725490196
27,67,0.04477611940298507,0.04477611940298507,0.04477611940298507
28,43,0.16279069767441862,0.16279069767441862,0.16279069767441862
29,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
