feature,spearman,spearman_p,pearson,pearson_p
size_ratio,-0.11836234854768461,9.561882171791275e-304,-0.08647791201256237,1.3617272082963359e-162
bdy_dist,-0.06982900382561955,1.4328492742747934e-106,0.0009147279740296856,0.7742008874019088
layer,-0.06702588295257811,2.548791251018674e-98,0.005050437027870442,0.1132009138409284
min_valence,-0.0606609808917989,7.57964148983732e-81,-0.09751427135622273,2.1792451747390214e-206
deg_min,-0.05988629808553411,7.711274974374004e-79,-0.07654399751643301,1.0216508090519723e-127
n_irregular_verts,0.05306815847884311,2.76514738886435e-62,0.0800097599321998,2.135931345083659e-139
valence_irreg_mean,0.05283172928301419,9.548530567009127e-62,0.0792278355170323,1.0239626003468139e-136
flow_misalign,0.05256978741280482,3.7448220705051085e-61,0.05837771558161218,5.275248000057319e-75
max_angle_deg,0.04912064370079488,1.2994679848112642e-53,0.05379608741925544,5.882449768682746e-64
radius_ratio,-0.047708805836808026,1.1301999155217787e-50,-0.05168067366190286,3.681115001558387e-59
aspect_ratio,0.04303770948234463,1.4793870579284303e-41,0.033475322171234737,8.480220306615176e-26
layer_flow_misalign,-0.04200762274596236,1.1351030446065259e-39,-0.011875673296452489,0.00019556734148025475
mean_valence,-0.04171989367630082,3.745004260110378e-39,-0.06439684402309334,6.84859591565874e-91
min_angle_deg,-0.040268986018737234,1.3607648678760966e-36,-0.030258303336949878,2.2659270710427453e-21
deg_mean,-0.04012824839828327,2.384264014014516e-36,-0.060628680929066606,9.201650078598667e-81
is_OE,-0.039804112296514406,8.612210471976356e-36,0.10090663949599893,6.356996822477615e-221
is_IE,0.039804112296514406,8.612210471976356e-36,-0.10090663949599896,6.356996822477615e-221
valence_irreg_max,0.03874265293288421,5.373601663396247e-34,0.062341839923294944,2.7229345834148926e-85
n_tri_neighbours,-0.03622936648223869,6.1559965309515144e-30,-0.08460349201818296,1.105418551871725e-155
n_boundary_edges,0.03622936648223869,6.1559965309515144e-30,0.08460349201818282,1.1054185518737854e-155
flow_disorder,0.016642482777145667,1.7901061636522128e-07,0.022943039560395145,6.176602815236675e-13
edge_min,-0.015495141038745773,1.1738499257195698e-06,0.007377577070470211,0.02067617308107843
max_valence,0.014434165901043917,5.9772094416213046e-06,0.03838569281266521,2.1045810272487177e-33
deg_max,0.014097384204755375,9.799374632146084e-06,0.03320391924703658,2.0837611889624826e-25
area,-0.013861374712829694,1.3768327457383226e-05,0.0026157920670920585,0.41199555570718843
log_size_gradient,0.013353941161806913,2.8098236424199524e-05,0.0347312052842771,1.2048355787248382e-27
perimeter,-0.011792042727544746,0.00021692610920873788,0.008579331611781746,0.007128778861364022
edge_mean,-0.011792042727544746,0.00021692610920873788,0.008579331611781742,0.007128778861364022
edge_max,-0.007380401599795247,0.020627611522060177,0.010714622540850288,0.0007780104959867379
