subset,feature,spearman,p,n
OE-only,valence_irreg_mean,0.16649357914564483,0.0,50952
OE-only,n_irregular_verts,0.16528578860760118,7.449724708617707e-309,50952
OE-only,min_valence,-0.14791389651133377,4.309769142247132e-247,50952
OE-only,valence_irreg_max,0.13525259330249703,1.4202944265708351e-206,50952
OE-only,size_ratio,-0.1258433482245282,6.851168240854178e-179,50952
OE-only,flow_misalign,0.09978658354356876,6.784479128884055e-113,50952
OE-only,radius_ratio,-0.09857433566701437,3.339096995930837e-110,50952
OE-only,aspect_ratio,0.0926953951670408,1.2759576574411173e-97,50952
OE-only,min_angle_deg,-0.08756234927389707,2.826472177516539e-87,50952
OE-only,max_valence,0.08568070809187434,1.242917918398061e-83,50952
OE-only,deg_max,0.08290628984271477,2.091768974069458e-78,50952
OE-only,bdy_dist,-0.07198199788139442,1.641337442471455e-59,50952
OE-only,n_tri_neighbours,-0.07166256558985425,5.338260504567036e-59,50952
OE-only,n_boundary_edges,0.07166256558985425,5.338260504567036e-59,50952
OE-only,layer,-0.06496949832973058,8.60515751301827e-49,50952
OE-only,flow_disorder,0.06473232668622393,1.8971671157424917e-48,50952
OE-only,mean_valence,-0.06175173541905313,3.062714230039978e-44,50952
OE-only,deg_mean,-0.06074342949881265,7.325370008874065e-43,50952
OE-only,layer_flow_misalign,-0.050770760888872814,1.924199365511401e-30,50952
OE-only,log_size_gradient,0.03612740814255132,3.4248378100148796e-16,50952
OE-only,area,-0.010148415880327994,0.021977356019584067,50952
OE-only,perimeter,-0.0055487905528387406,0.21039413090771594,50952
OE-only,edge_mean,-0.0055487905528387406,0.21039413090771594,50952
interior-only,size_ratio,-0.1120262552120792,2.598878783101773e-252,91147
interior-only,bdy_dist,-0.06344624970300318,6.122487717415802e-82,91147
interior-only,layer,-0.06174386922601115,1.0797929791447136e-77,91147
interior-only,is_IE,0.05436827231385149,1.2459088764916954e-60,91147
interior-only,is_OE,-0.05436827231385149,1.2459088764916954e-60,91147
interior-only,min_valence,-0.04550652398856541,5.411708936031442e-43,91147
interior-only,flow_misalign,0.04421237105510352,1.1178955171981709e-40,91147
interior-only,layer_flow_misalign,-0.03870704032340418,1.4322956556503076e-31,91147
interior-only,radius_ratio,-0.03195305952040407,4.956994932349244e-22,91147
interior-only,aspect_ratio,0.02849040547141173,7.763082126317763e-18,91147
interior-only,n_irregular_verts,0.02706091726508012,3.0526846310657735e-16,91147
interior-only,mean_valence,-0.027047497147828437,3.1569927146617044e-16,91147
interior-only,valence_irreg_mean,0.026877655415610782,4.823174319696777e-16,91147
interior-only,min_angle_deg,-0.026457786495876205,1.3599010538162155e-15,91147
interior-only,deg_mean,-0.02605705145434151,3.6036122046204875e-15,91147
interior-only,valence_irreg_max,0.015253611383038615,4.11761501377304e-06,91147
interior-only,area,-0.011129391698465841,0.0007791883129502769,91147
interior-only,flow_disorder,0.01062075157715827,0.0013435517604292043,91147
interior-only,edge_mean,-0.010090490766447996,0.002315905805167898,91147
interior-only,perimeter,-0.010090490766447996,0.002315905805167898,91147
interior-only,deg_max,0.0048817502131496,0.14053104062517086,91147
interior-only,max_valence,0.004230504029705169,0.2015312527784483,91147
interior-only,log_size_gradient,0.0020673346228378456,0.532540875892788,91147
