seed,n_routed,n_merged,n_quads,n_leftover_final,seconds
0,5537,92828,51951,0,17.609154224395752
1,5533,92832,51949,0,17.38601279258728
2,5543,92822,51954,0,18.079476833343506
3,5523,92842,51944,0,17.90141797065735
4,5517,92848,51941,0,17.481839895248413
5,5557,92808,51961,0,18.190516233444214
6,5539,92826,51952,0,17.84411358833313
7,5505,92860,51935,0,17.753282070159912
8,5517,92848,51941,0,17.41438388824463
9,5545,92820,51955,0,17.910140991210938
10,5517,92848,51941,0,18.26524567604065
11,5535,92830,51950,0,17.576675415039062
12,5527,92838,51946,0,17.52918553352356
13,5537,92828,51951,0,17.57694721221924
14,5523,92842,51944,0,17.439054250717163
15,5537,92828,51951,0,18.051671743392944
16,5547,92818,51956,0,17.369080781936646
17,5529,92836,51947,0,17.99393343925476
18,5549,92816,51957,0,17.65071153640747
19,5515,92850,51940,0,18.390042781829834
20,5539,92826,51952,0,17.385161638259888
21,5541,92824,51953,0,17.56164312362671
22,5529,92836,51947,0,17.629369974136353
23,5525,92840,51945,0,17.904290437698364
24,5539,92826,51952,0,17.526777267456055
25,5539,92826,51952,0,17.52147603034973
26,5547,92818,51956,0,17.460405826568604
27,5515,92850,51940,0,17.81060290336609
28,5535,92830,51950,0,20.304433822631836
29,5537,92828,51951,0,17.530264616012573
30,5539,92826,51952,0,17.60892128944397
31,5527,92838,51946,0,18.26631736755371
32,5529,92836,51947,0,18.183297634124756
33,5533,92832,51949,0,17.60162377357483
34,5541,92824,51953,0,20.958722829818726
35,5517,92848,51941,0,17.908219814300537
36,5523,92842,51944,0,17.502012968063354
37,5545,92820,51955,0,18.05871343612671
38,5529,92836,51947,0,20.994507551193237
39,5535,92830,51950,0,20.51173496246338
40,5505,92860,51935,0,17.0924289226532
41,5535,92830,51950,0,17.28638744354248
42,5535,92830,51950,0,20.241421461105347
43,5519,92846,51942,0,20.455304384231567
44,5541,92824,51953,0,17.25568437576294
45,5543,92822,51954,0,17.390477418899536
46,5529,92836,51947,0,20.505089282989502
47,5535,92830,51950,0,20.03956365585327
48,5533,92832,51949,0,17.540632486343384
49,5533,92832,51949,0,18.38858151435852
50,5533,92832,51949,0,20.923873901367188
51,5515,92850,51940,0,17.44467258453369
52,5535,92830,51950,0,18.368210077285767
53,5545,92820,51955,0,19.705961227416992
54,5509,92856,51937,0,17.61242699623108
55,5543,92822,51954,0,20.91192054748535
56,5537,92828,51951,0,20.584892511367798
57,5545,92820,51955,0,18.63529634475708
58,5543,92822,51954,0,18.743796825408936
59,5521,92844,51943,0,19.50277042388916
60,5553,92812,51959,0,17.809979677200317
61,5535,92830,51950,0,17.823763847351074
62,5529,92836,51947,0,20.335816621780396
63,5541,92824,51953,0,17.577900648117065
64,5527,92838,51946,0,18.109575510025024
65,5537,92828,51951,0,17.879260301589966
66,5513,92852,51939,0,21.91593647003174
67,5537,92828,51951,0,21.111937999725342
68,5535,92830,51950,0,20.75285053253174
69,5523,92842,51944,0,19.93224549293518
70,5517,92848,51941,0,19.92812728881836
71,5541,92824,51953,0,18.207547426223755
72,5525,92840,51945,0,17.742970943450928
73,5531,92834,51948,0,17.500515460968018
74,5533,92832,51949,0,17.208003520965576
75,5525,92840,51945,0,18.452348232269287
76,5525,92840,51945,0,18.06934666633606
77,5513,92852,51939,0,18.767904043197632
78,5521,92844,51943,0,17.652344703674316
79,5541,92824,51953,0,18.09334444999695
80,5533,92832,51949,0,20.71546459197998
81,5535,92830,51950,0,17.342484712600708
82,5513,92852,51939,0,17.696394205093384
83,5551,92814,51958,0,17.684645175933838
84,5531,92834,51948,0,17.661785364151
85,5513,92852,51939,0,20.554744005203247
86,5525,92840,51945,0,17.621501445770264
87,5537,92828,51951,0,18.432295560836792
88,5529,92836,51947,0,19.76728129386902
89,5551,92814,51958,0,17.456225156784058
90,5535,92830,51950,0,17.441490411758423
91,5545,92820,51955,0,17.906392097473145
92,5523,92842,51944,0,20.20372724533081
93,5539,92826,51952,0,17.520708560943604
94,5531,92834,51948,0,17.27260160446167
95,5529,92836,51947,0,18.083808660507202
96,5555,92810,51960,0,20.109105110168457
97,5517,92848,51941,0,17.251556634902954
98,5539,92826,51952,0,17.403692483901978
99,5543,92822,51954,0,21.89600419998169
100,5533,92832,51949,0,17.510722637176514
101,5525,92840,51945,0,20.794573307037354
102,5523,92842,51944,0,17.707113027572632
103,5529,92836,51947,0,18.05516481399536
