layer,n_tris,mean_pass_freq,frac_ever_routed,frac_always_routed
0,14171,0.06231811445910663,0.11347117352339285,0.050949121445205
1,12023,0.056761207685269904,0.11910504865674125,0.04815769774598686
2,9991,0.05464518066259634,0.12701431288159343,0.04504053648283455
3,8399,0.052339564233837364,0.13084891058459341,0.04262412191927611
4,7043,0.05100809314212693,0.10748260684367457,0.043021439727388894
5,5816,0.05624484181568088,0.0985213204951857,0.04969050894085282
6,4990,0.05585170340681363,0.0841683366733467,0.051703406813627256
7,4343,0.05606493207460281,0.057794151508174074,0.05480082892010131
8,3869,0.05178857585939519,0.07676402171103644,0.047299043680537604
9,3543,0.04916454981653966,0.07225515100197573,0.04515946937623483
10,3290,0.05150151975683891,0.057750759878419454,0.04893617021276596
11,3084,0.04808690012970169,0.0651750972762646,0.046044098573281456
12,2859,0.04752011192724728,0.07939839104582022,0.04337180832458902
13,2596,0.05416795069337443,0.08436055469953775,0.047380585516178735
14,2316,0.05847150259067357,0.0729706390328152,0.05569948186528497
15,1941,0.06543019062339,0.06594538897475528,0.06491499227202473
16,1643,0.06512477175897748,0.06512477175897748,0.06512477175897748
17,1399,0.0639313795568263,0.07219442458899214,0.057898498927805575
18,1191,0.06297229219143577,0.06381192275398824,0.06213266162888329
19,908,0.07268722466960352,0.07268722466960352,0.07268722466960352
20,748,0.05621657754010695,0.07085561497326204,0.053475935828877004
21,635,0.06749606299212599,0.09291338582677165,0.05511811023622047
22,486,0.0657201646090535,0.09876543209876543,0.06172839506172839
23,370,0.07202702702702703,0.15135135135135136,0.062162162162162166
24,291,0.0859106529209622,0.0859106529209622,0.0859106529209622
25,202,0.07668316831683168,0.1782178217821782,0.039603960396039604
26,102,0.0784313725490196,0.0784313725490196,0.0784313725490196
27,67,0.04477611940298507,0.04477611940298507,0.04477611940298507
28,43,0.16279069767441862,0.16279069767441862,0.16279069767441862
29,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
