subset,feature,spearman,p,n
OE-only,valence_irreg_mean,0.16134763631070465,3.1928600807346994e-294,50952
OE-only,n_irregular_verts,0.1604118025526038,8.445628252367855e-291,50952
OE-only,min_valence,-0.13958371562072389,5.1946822909313115e-220,50952
OE-only,valence_irreg_max,0.13088713826688125,1.7879701448524897e-193,50952
OE-only,size_ratio,-0.12496692716407153,2.039910547328532e-176,50952
OE-only,flow_misalign,0.09901067167743781,3.618109304748899e-111,50952
OE-only,radius_ratio,-0.09564210922072096,7.893788295958372e-104,50952
OE-only,aspect_ratio,0.08993031872073354,5.659399887950876e-92,50952
OE-only,max_valence,0.0876666128330929,1.7661760809114916e-87,50952
OE-only,deg_max,0.08571688241036139,1.0596338397774268e-83,50952
OE-only,min_angle_deg,-0.0849986844533387,2.4844717607898003e-82,50952
OE-only,flow_disorder,0.0648733778635537,1.1859352111841243e-48,50952
OE-only,bdy_dist,-0.06399584850813451,2.1691394264896858e-47,50952
OE-only,n_tri_neighbours,-0.06125369893186537,1.4788828651755275e-43,50952
OE-only,n_boundary_edges,0.06125369893186537,1.4788828651755275e-43,50952
OE-only,layer,-0.056871836663693734,8.882694958022141e-38,50952
OE-only,mean_valence,-0.054593007887027596,6.097017690528019e-35,50952
OE-only,deg_mean,-0.05339516671143484,1.6979500452919218e-33,50952
OE-only,layer_flow_misalign,-0.05122173009157149,5.891971372768364e-31,50952
OE-only,log_size_gradient,0.03338255994122711,4.801305539693688e-14,50952
OE-only,area,-0.0064753581464529085,0.14384183404774303,50952
OE-only,perimeter,-0.0019990852154126762,0.6518209907285292,50952
OE-only,edge_mean,-0.0019990852154126762,0.6518209907285292,50952
interior-only,size_ratio,-0.10707253157511774,1.5020232781553858e-230,91147
interior-only,bdy_dist,-0.05662795339180503,1.2544651460841014e-65,91147
interior-only,layer,-0.05225314144171244,3.879237584579809e-56,91147
interior-only,flow_misalign,0.04996490898679298,1.776065921868237e-51,91147
interior-only,min_valence,-0.03986181336699963,2.2129067439814802e-33,91147
interior-only,layer_flow_misalign,-0.03819196284114771,8.848379510757259e-31,91147
interior-only,radius_ratio,-0.031155022481915186,5.055186624599391e-21,91147
interior-only,n_irregular_verts,0.029072263129224226,1.6520673885327135e-18,91147
interior-only,valence_irreg_mean,0.028923138670663217,2.4633220482494638e-18,91147
interior-only,aspect_ratio,0.027882043372504217,3.788481871582313e-17,91147
interior-only,is_IE,0.02595720815335967,4.583628964162619e-15,91147
interior-only,is_OE,-0.02595720815335967,4.583628964162619e-15,91147
interior-only,min_angle_deg,-0.025875652260471393,5.575152114637916e-15,91147
interior-only,mean_valence,-0.01866998532884734,1.730508096642747e-08,91147
interior-only,valence_irreg_max,0.017964722475763018,5.8275359733547006e-08,91147
interior-only,deg_mean,-0.017305156767418634,1.743024315389888e-07,91147
interior-only,flow_disorder,0.013005006126608161,8.622795459341141e-05,91147
interior-only,deg_max,0.010659767957689768,0.0012895687412921681,91147
interior-only,max_valence,0.00993277976857281,0.002710497740240038,91147
interior-only,area,-0.007675021758651548,0.020496405871291153,91147
interior-only,edge_mean,-0.006622973417133161,0.04555348593326517,91147
interior-only,perimeter,-0.006622973417133161,0.04555348593326517,91147
interior-only,log_size_gradient,0.005414961061652922,0.10209167068924867,91147
