seed,n_routed,n_merged,n_quads,n_leftover_final,seconds
0,5537,92828,51951,0,18.528167724609375
1,5533,92832,51949,0,18.214399814605713
2,5543,92822,51954,0,18.17955470085144
3,5523,92842,51944,0,19.01907205581665
4,5517,92848,51941,0,17.468242645263672
5,5557,92808,51961,0,17.274564504623413
6,5539,92826,51952,0,17.86750340461731
7,5505,92860,51935,0,17.44459056854248
8,5517,92848,51941,0,17.45946478843689
9,5545,92820,51955,0,17.593384742736816
10,5517,92848,51941,0,17.762077569961548
11,5535,92830,51950,0,17.345350980758667
12,5527,92838,51946,0,19.455015897750854
13,5537,92828,51951,0,20.035414218902588
14,5523,92842,51944,0,20.12795639038086
15,5537,92828,51951,0,19.630029916763306
16,5547,92818,51956,0,17.692167282104492
17,5529,92836,51947,0,17.69781804084778
18,5549,92816,51957,0,17.676013231277466
19,5515,92850,51940,0,18.122377395629883
20,5539,92826,51952,0,17.535878896713257
21,5541,92824,51953,0,17.10506796836853
22,5529,92836,51947,0,17.102821826934814
23,5525,92840,51945,0,17.47707486152649
24,5539,92826,51952,0,18.100430011749268
25,5539,92826,51952,0,17.387354850769043
26,5547,92818,51956,0,17.668650150299072
27,5515,92850,51940,0,17.774803638458252
28,5535,92830,51950,0,17.837209463119507
29,5537,92828,51951,0,17.645323514938354
30,5539,92826,51952,0,17.152540683746338
31,5527,92838,51946,0,17.561033010482788
32,5529,92836,51947,0,17.238689661026
33,5533,92832,51949,0,17.287721395492554
34,5541,92824,51953,0,22.09258008003235
35,5517,92848,51941,0,17.449424028396606
36,5523,92842,51944,0,17.178484678268433
37,5545,92820,51955,0,17.65155816078186
38,5529,92836,51947,0,17.218054056167603
39,5535,92830,51950,0,19.828049421310425
40,5505,92860,51935,0,18.203309774398804
41,5535,92830,51950,0,17.602333307266235
42,5535,92830,51950,0,17.733365535736084
43,5519,92846,51942,0,19.096154928207397
44,5541,92824,51953,0,17.154955863952637
45,5543,92822,51954,0,19.75745987892151
46,5529,92836,51947,0,17.615477561950684
47,5535,92830,51950,0,17.069167852401733
48,5533,92832,51949,0,17.083597660064697
49,5533,92832,51949,0,17.52717161178589
50,5533,92832,51949,0,19.56611132621765
51,5515,92850,51940,0,17.687106370925903
52,5535,92830,51950,0,17.365522384643555
53,5545,92820,51955,0,17.53831458091736
54,5509,92856,51937,0,20.4721417427063
55,5543,92822,51954,0,17.611918449401855
56,5537,92828,51951,0,17.76619839668274
57,5545,92820,51955,0,17.58879327774048
58,5543,92822,51954,0,18.91181206703186
59,5521,92844,51943,0,18.657582998275757
60,5553,92812,51959,0,18.00164222717285
61,5535,92830,51950,0,17.47789192199707
62,5529,92836,51947,0,17.201689958572388
63,5541,92824,51953,0,20.155511140823364
64,5527,92838,51946,0,17.612929344177246
65,5537,92828,51951,0,17.6530601978302
66,5513,92852,51939,0,17.872756242752075
67,5537,92828,51951,0,19.598952770233154
68,5535,92830,51950,0,19.019714832305908
69,5523,92842,51944,0,17.880305767059326
70,5517,92848,51941,0,17.121774911880493
71,5541,92824,51953,0,17.524715185165405
72,5525,92840,51945,0,19.91803765296936
73,5531,92834,51948,0,17.55953049659729
74,5533,92832,51949,0,17.24976897239685
75,5525,92840,51945,0,22.131809949874878
76,5525,92840,51945,0,18.014533758163452
77,5513,92852,51939,0,21.167577981948853
78,5521,92844,51943,0,17.647285223007202
79,5541,92824,51953,0,21.759134531021118
